year,month,date,time,energy
2023,1,7,13:30:00,-628.84521484375
2023,1,7,13:45:00,39.4287109375
2023,1,7,14:00:00,88.56201171875
2023,1,7,14:15:00,765.625
2023,1,7,14:30:00,1117.1875
2023,1,7,14:45:00,1101.5625
2023,1,7,15:00:00,1101.5625
2023,1,7,15:15:00,1234.375
2023,1,7,15:30:00,1359.375
2023,1,7,15:45:00,945.3125
2023,1,7,16:00:00,968.75
2023,1,7,16:15:00,1171.875
2023,1,7,16:30:00,1343.75
2023,1,7,16:45:00,1867.1875
2023,1,7,17:00:00,1554.6875
2023,1,7,17:15:00,1601.5625
2023,1,7,17:30:00,1601.5625
2023,1,7,17:45:00,1648.4375
2023,1,7,18:00:00,1734.375
2023,1,7,18:15:00,1593.75
2023,1,7,18:30:00,1468.75
2023,1,7,18:45:00,1546.875
2023,1,7,19:00:00,1515.625
2023,1,7,19:15:00,1507.8125
2023,1,7,19:30:00,1554.6875
2023,1,7,19:45:00,1546.875
2023,1,7,20:00:00,2945.3125
2023,1,7,20:15:00,3250.0
2023,1,7,20:30:00,2328.125
2023,1,7,20:45:00,1523.4375
2023,1,7,21:00:00,1570.3125
2023,1,7,21:15:00,1539.0625
2023,1,7,21:30:00,1492.1875
2023,1,7,21:45:00,1507.8125
2023,1,7,22:00:00,1507.8125
2023,1,7,22:15:00,1429.6875
2023,1,7,22:30:00,1562.5
2023,1,7,22:45:00,1484.375
2023,1,7,23:00:00,1507.8125
2023,1,7,23:15:00,1570.3125
2023,1,7,23:30:00,1484.375
2023,1,7,23:45:00,1539.0625
2023,1,8,00:00:00,1523.4375
2023,1,8,00:15:00,1539.0625
2023,1,8,00:30:00,1546.875
2023,1,8,00:45:00,1546.875
2023,1,8,01:00:00,1445.3125
2023,1,8,01:15:00,1554.6875
2023,1,8,01:30:00,1484.375
2023,1,8,01:45:00,1539.0625
2023,1,8,02:00:00,2828.125
2023,1,8,02:15:00,3156.25
2023,1,8,02:30:00,2265.625
2023,1,8,02:45:00,1554.6875
2023,1,8,03:00:00,1546.875
2023,1,8,03:15:00,1429.6875
2023,1,8,03:30:00,1515.625
2023,1,8,03:45:00,1460.9375
2023,1,8,04:00:00,1562.5
2023,1,8,04:15:00,1414.0625
2023,1,8,04:30:00,1492.1875
2023,1,8,04:45:00,1414.0625
2023,1,8,05:00:00,1515.625
2023,1,8,05:15:00,1492.1875
2023,1,8,05:30:00,1437.5
2023,1,8,05:45:00,1429.6875
2023,1,8,06:00:00,1578.125
2023,1,8,06:15:00,1429.6875
2023,1,8,06:30:00,1460.9375
2023,1,8,06:45:00,1390.625
2023,1,8,07:00:00,1367.1875
2023,1,8,07:15:00,1140.625
2023,1,8,07:30:00,1093.75
2023,1,8,07:45:00,898.4375
2023,1,8,08:00:00,835.9375
2023,1,8,08:15:00,1226.5625
2023,1,8,08:30:00,726.5625
2023,1,8,08:45:00,515.625
2023,1,8,09:00:00,601.5625
2023,1,8,09:15:00,382.8125
2023,1,8,09:30:00,367.1875
2023,1,8,09:45:00,15.44189453125
2023,1,8,10:00:00,160.58349609375
2023,1,8,10:15:00,310.05859375
2023,1,8,10:30:00,232.0556640625
2023,1,8,10:45:00,275.45166015625
2023,1,8,11:00:00,347.47314453125
2023,1,8,11:15:00,83.19091796875
2023,1,8,11:30:00,1478.3935546875
2023,1,8,11:45:00,1726.5625
2023,1,8,12:00:00,916.50390625
2023,1,8,12:15:00,-614.44091796875
2023,1,8,12:30:00,-1206.48193359375
2023,1,8,12:45:00,-478.33251953125
2023,1,8,13:00:00,-90.2099609375
2023,1,8,13:15:00,-600.2197265625
2023,1,8,13:30:00,-306.0302734375
2023,1,8,13:45:00,-590.75927734375
2023,1,8,14:00:00,-45.34912109375
2023,1,8,14:15:00,-90.2099609375
2023,1,8,14:30:00,69.27490234375
2023,1,8,14:45:00,859.375
2023,1,8,15:00:00,789.0625
2023,1,8,15:15:00,867.1875
2023,1,8,15:30:00,937.5
2023,1,8,15:45:00,937.5
2023,1,8,16:00:00,890.625
2023,1,8,16:15:00,1109.375
2023,1,8,16:30:00,1203.125
2023,1,8,16:45:00,1281.25
2023,1,8,17:00:00,1500.0
